10cc,Chicago,"I'm Not In Love","If You Leave Me Now",0.48388
10cc,"Gerry Rafferty","I'm Not In Love","Baker Street",0.41844
10cc,"Little River Band","I'm Not In Love",Reminiscing,0.351631
10cc,"Steely Dan","I'm Not In Love","Do It Again",0.334292
10cc,Bread,"I'm Not In Love","Make It With You",0.323979
10cc,"Boz Scaggs","I'm Not In Love",Lowdown,0.309445
10cc,Kansas,"I'm Not In Love","Dust In The Wind",0.282559
10cc,"Elton John","I'm Not In Love","Goodbye Yellow Brick Road",0.282525
10cc,Styx,"I'm Not In Love",Babe,0.278363
10cc,"Steely Dan","I'm Not In Love","Rikki Don't Lose That Number",0.269197
10cc,Bread,"I'm Not In Love",If,0.268252
10cc,"Carly Simon","I'm Not In Love","You're So Vain",0.254733
10cc,"Boz Scaggs","I'm Not In Love","Lido Shuffle",0.253562
10cc,Foreigner,"I'm Not In Love","Waiting For A Girl Like You",0.243875
10cc,Foreigner,"I'm Not In Love","I Want To Know What Love Is",0.238667
10cc,"Jefferson Starship","I'm Not In Love","With Your Love",0.213104
10cc,"Golden Earring","I'm Not In Love","Radar Love",0.150502
10cc,"Olivia Newton-John","I'm Not In Love","Have You Never Been Mellow",0.13902
10cc,"Leo Sayer","I'm Not In Love","More Than I Can Say",0.129107
10cc,"Gilbert O'Sullivan","I'm Not In Love",Clair,0.11848
10cc,"Steve Winwood","I'm Not In Love",Valerie,0.0974813
10cc,"Crowded House","I'm Not In Love","Don't Dream It's Over",0.00841899
10cc,"Elvin Bishop","I'm Not In Love","Fooled Around And Fell In Love",0.00444292
10cc,"Three Dog Night","I'm Not In Love","Black And White",0.00427952
112,Usher,"U Already Know","U Got it Bad",0.641784
112,Ginuwine,"U Already Know",Differences,0.629065
112,Ginuwine,"U Already Know",Differences,0.629065
112,"Ray J","U Already Know","One Wish",0.590119
112,"J. Holiday","U Already Know",Suffocate,0.54282
112,Tyrese,"U Already Know","How You Gonna Act Like That",0.49589
112,Ashanti,"U Already Know",Foolish,0.448754
112,"Boyz II Men","U Already Know","Water Runs Dry",0.443279
112,"Donell Jones","U Already Know","Where I Wanna Be",0.383687
112,"Boyz II Men","U Already Know","I'll Make Love To You",0.366713
112,"Boyz II Men","U Already Know","I'll Make Love To You",0.366713
112,"Soul For Real","U Already Know","Candy Rain",0.356931
112,"Craig David","U Already Know","7 Days",0.331994
112,Maxwell,"U Already Know","Pretty Wings",0.296819
112,"Keyshia Cole","U Already Know","Heaven Sent",0.27807
112,"Montell Jordan","U Already Know","This Is How We Do It",0.229176
112,"Ruben Studdard","U Already Know","Sorry 2004",0.215682
112,Brownstone,"U Already Know","If You Love Me",0.191897
112,SWV,"U Already Know",Anything,0.15513
112,"Sunshine Anderson","U Already Know","Heard It All Before",0.138197
"3 Doors Down",Hinder,"Let Me Go","Better Than Me",0.193841
"3 Doors Down",Hoobastank,"Let Me Go","The Reason",0.172064
"3 Doors Down","Saving Abel","Let Me Go",Addicted,0.158705
"3 Doors Down","Puddle Of Mudd","Let Me Go","She Hates Me",0.140757
"3 Doors Down","Finger Eleven","Let Me Go",Paralyzer,0.139545
"3 Doors Down","Finger Eleven","Let Me Go",Paralyzer,0.139545
"3 Doors Down","Jimmy Eat World","Let Me Go","The Middle",0.115982
"3 Doors Down","Finger Eleven","Let Me Go","One Thing",0.100273
"3 Doors Down",OneRepublic,"Let Me Go",Secrets,0.0954812
"3 Doors Down","Lenny Kravitz","Let Me Go","Fly Away",0.0764014
"3 Doors Down","Lenny Kravitz","Let Me Go",Again,0.062804
"3 Doors Down","Sister Hazel","Let Me Go","All For You",0.0589614
"3 Doors Down","Sister Hazel","Let Me Go","All For You",0.0589614
"3 Doors Down","Avril Lavigne","Let Me Go","My Happy Ending",0.00392556
"3 Doors Down","James Blunt","Let Me Go","You're Beautiful",0.00286995
"3 Doors Down","Plain White T's","Let Me Go","Hey There Delilah",0.00285112
"50 Cent",DMX,Wanksta,"Party Up",0.186737
"50 Cent","Ice Cube",Wanksta,"It Was A Good Day",0.184309
"50 Cent","Ice Cube",P.I.M.P.,"It Was A Good Day",0.163253
"50 Cent","Ice Cube","Just A Lil Bit","It Was A Good Day",0.160451
"50 Cent",DMX,P.I.M.P.,"Party Up",0.153821
"50 Cent",DMX,"Just A Lil Bit","Party Up",0.136257
"50 Cent",OutKast,P.I.M.P.,Roses,0.108676
"50 Cent",Chamillionaire,P.I.M.P.,"Ridin'",0.100125
"50 Cent","Bone Thugs-N-Harmony",Wanksta,"Tha Crossroads",0.0997395
"50 Cent",Chamillionaire,"Just A Lil Bit","Ridin'",0.0979469
"50 Cent","Will Smith","Just A Lil Bit",Miami,0.0971592
"50 Cent","Will Smith",P.I.M.P.,Miami,0.0921284
"50 Cent","Will Smith",Wanksta,Miami,0.0875271
"50 Cent","Bone Thugs-N-Harmony",P.I.M.P.,"Tha Crossroads",0.0691916
"50 Cent","Bone Thugs-N-Harmony","Just A Lil Bit","Tha Crossroads",0.0633563
"50 Cent","Sean Paul",P.I.M.P.,Temperature,0.00393342
"50 Cent",Usher,"Just A Lil Bit",Burn,0.00332019
"50 Cent","Sean Paul",Wanksta,Temperature,0.00304632
"50 Cent",Usher,P.I.M.P.,Burn,0.00214984
Aaliyah,Ashanti,"Miss You",Foolish,0.298533
Aaliyah,Usher,"Miss You","U Got it Bad",0.257963
Aaliyah,"Keyshia Cole","Miss You","Heaven Sent",0.227384
Aaliyah,"Mary J. Blige","Miss You","Be Without You",0.215117
Aaliyah,"Boyz II Men","Miss You","Water Runs Dry",0.209052
Aaliyah,Ginuwine,"Miss You",Differences,0.199832
Aaliyah,Ginuwine,"Miss You",Differences,0.199832
Aaliyah,"Lauryn Hill","Miss You",Ex-Factor,0.189573
Aaliyah,Usher,"Miss You",Burn,0.188467
Aaliyah,"J. Holiday","Miss You",Suffocate,0.16647
Aaliyah,Maxwell,"Miss You","Pretty Wings",0.148232
Aaliyah,Tyrese,"Miss You","How You Gonna Act Like That",0.140035
Aaliyah,"Brian McKnight","Miss You","Back At One",0.13718
